English (en),Dutch (nl),English (en),Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,nuttig,aantal woorden,gelijk,nieuw,dutch new
aback,verrast,aback,0,0,0,0,0,0,0,0,0,0,nee,1,,,verrast
abacus,telraam,abacus,0,0,0,0,0,0,0,0,0,1,ja,1,,,telraam
abandon,in de steek laten,abandon,0,1,0,0,0,1,0,1,0,0,ja,4,,verlaten,verlaten
abandoned,verlaten,abandoned,0,1,1,0,0,1,0,1,0,0,ja,1,,,verlaten
abandonment,verlatenheid,abandonment,0,1,1,0,0,1,0,1,1,0,ja,1,,,verlatenheid
abate,verminderen,abate,0,0,0,0,0,0,0,0,0,0,nee,1,,,verminderen
abatement,vermindering,abatement,0,0,0,0,0,0,0,0,0,0,nee,1,,,vermindering
abba,abba,abba,1,0,0,0,0,0,0,0,0,0,ja,1,,,abba
abbot,abt,abbot,0,0,0,0,0,0,0,0,0,1,ja,1,,,abt
abbreviate,afkorten,abbreviate,0,0,0,0,0,0,0,0,0,0,nee,1,,,afkorten
abbreviation,afkorting,abbreviation,0,0,0,0,0,0,0,0,0,0,nee,1,,,afkorting
abdomen,buik,abdomen,0,0,0,0,0,0,0,0,0,0,nee,1,,,buik
abdominal,abdominaal,abdominal,0,0,0,0,0,0,0,0,0,0,nee,1,,,abdominaal
abduction,ontvoering,abduction,0,1,0,0,0,1,0,1,1,0,ja,1,,,ontvoering
aberrant,afwijkend,aberrant,0,1,0,0,0,0,0,0,0,0,ja,1,,,afwijkend
aberration,aberratie,aberration,0,1,0,0,1,0,0,0,0,0,ja,1,,,aberratie
abeyance,onbeheerdheid,abeyance,0,0,0,0,0,0,0,0,0,0,nee,1,,,onbeheerdheid
abhor,verafschuwen,abhor,0,1,1,0,1,1,0,0,0,0,ja,1,,,verafschuwen
abhorrent,weerzinwekkend,abhorrent,0,1,1,0,1,1,0,0,0,0,ja,1,,,weerzinwekkend
abide,vertoeven,abide,0,0,0,0,0,0,0,0,0,0,nee,1,,,vertoeven
ability,vermogen,ability,1,0,0,0,0,0,0,0,0,0,ja,1,,,vermogen
abject,verachtelijk,abject,0,1,0,0,1,0,0,0,0,0,ja,1,,,verachtelijk
ablation,verwijdering,ablation,0,0,0,0,0,0,0,0,0,0,nee,1,,,verwijdering
ablaze,in lichterlaaie,ablaze,0,0,0,0,0,0,0,0,0,0,nee,2,,,in lichterlaaie
abnormal,abnormaal,abnormal,0,1,0,0,1,0,0,0,0,0,ja,1,,,abnormaal
aboard,aan boord,aboard,0,0,0,0,0,0,0,0,0,0,nee,2,,,aan boord
abode,woonplaats,abode,0,0,0,0,0,0,0,0,0,0,nee,1,,,woonplaats
abolish,afschaffen,abolish,0,1,1,0,0,0,0,0,0,0,ja,1,,,afschaffen
abolition,afschaffing,abolition,0,1,0,0,0,0,0,0,0,0,ja,1,,,afschaffing
abominable,afschuwelijk,abominable,0,1,0,0,1,1,0,0,0,0,ja,1,,,afschuwelijk
abomination,gruwel,abomination,0,1,1,0,1,1,0,0,0,0,ja,1,,,gruwel
aboriginal,inheems,aboriginal,0,0,0,0,0,0,0,0,0,0,nee,1,,,inheems
abort,afbreken,abort,0,1,0,0,0,0,0,0,0,0,ja,1,,,afbreken
abortion,abortus,abortion,0,1,0,0,1,1,0,1,0,0,ja,1,,,abortus
abortive,vruchteloos,abortive,0,1,0,0,0,0,0,1,0,0,ja,1,,,vruchteloos
abound,rijk zijn,abound,0,0,0,0,0,0,0,0,0,0,nee,2,,,rijk zijn
abovementioned,NO TRANSLATION,NO TRANSLATION,1,0,0,0,0,0,0,0,0,0,ja,2,ongelijk,hierboven genoemd,hierboven genoemd
abrasion,schuring,abrasion,0,1,0,0,0,0,0,0,0,0,ja,1,,,schuring
abroad,Buitenland,abroad,0,0,0,0,0,0,0,0,0,0,nee,1,,,Buitenland
abrogate,afschaffen,abrogate,0,1,0,0,0,0,0,0,0,0,ja,1,,,afschaffen
abrupt,abrupt,abrupt,0,0,0,0,0,0,0,0,1,0,ja,1,,,abrupt
abruptly,abrupt,abruptly,0,0,0,0,0,0,0,0,0,0,nee,1,,,abrupt
abscess,abces,abscess,0,1,0,0,0,0,0,1,0,0,ja,1,,,abces
absence,afwezigheid,absence,0,1,0,0,0,1,0,1,0,0,ja,1,,,afwezigheid
absent,afwezig,absent,0,1,0,0,0,0,0,1,0,0,ja,1,,,afwezig
absentee,afwezige,absentee,0,1,0,0,0,0,0,1,0,0,ja,1,,,afwezige
absenteeism,absenteïsme,absenteeism,0,1,0,0,0,0,0,0,0,0,ja,1,,,absenteïsme
absinthe,absint,absinthe,0,0,0,0,0,0,0,0,0,0,nee,1,,,absint
absolute,absoluut,absolute,1,0,0,0,0,0,0,0,0,0,ja,1,,,absoluut
absolution,absolutie,absolution,1,0,0,0,0,0,1,0,0,1,ja,1,,,absolutie
absorbed,geabsorbeerd,absorbed,1,0,0,0,0,0,0,0,0,0,ja,1,,,geabsorbeerd
absorbent,absorbens,absorbent,0,0,0,0,0,0,0,0,0,0,nee,1,,,absorbens
absorbing,absorberen,absorbing,0,0,0,0,0,0,0,0,0,0,nee,1,,,absorberen
absorption,absorptie,absorption,0,0,0,0,0,0,0,0,0,0,nee,1,,,absorptie
abstain,zich onthouden,abstain,0,0,0,0,0,0,0,0,0,0,nee,2,,,zich onthouden
abstention,onthouding,abstention,0,0,0,0,0,0,0,0,0,0,nee,1,,,onthouding
abstinence,onthouding,abstinence,0,0,0,0,0,0,0,0,0,0,nee,1,,,onthouding
abstract,abstract,abstract,0,0,0,0,0,0,0,0,0,0,nee,1,,,abstract
abstraction,abstractie,abstraction,0,0,0,0,0,0,0,0,0,0,nee,1,,,abstractie
absurd,absurd,absurd,0,1,0,0,0,0,0,0,0,0,ja,1,,,absurd
absurdity,absurditeit,absurdity,0,1,0,0,0,0,0,0,0,0,ja,1,,,absurditeit
abundance,overvloed,abundance,1,1,0,1,1,0,1,0,0,1,ja,1,,,overvloed
abundant,overvloedig,abundant,1,0,0,0,0,0,1,0,0,0,ja,1,,,overvloedig
abuse,misbruik,abuse,0,1,1,0,1,1,0,1,0,0,ja,1,,,misbruik
abutment,aanrakingspunt,abutment,0,0,0,0,0,0,0,0,0,0,nee,1,,,aanrakingspunt
aby,NO TRANSLATION,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0,nee,2,ongelijk,,NO TRANSLATION
abysmal,onpeilbaar,abysmal,0,1,0,0,0,0,0,1,0,0,ja,1,,,onpeilbaar
abyss,afgrond,abyss,0,1,0,0,0,1,0,1,0,0,ja,1,,,afgrond
academic,academische,academic,1,0,0,0,0,0,0,0,0,1,ja,1,,,academische
academy,academie,academy,1,0,0,0,0,0,0,0,0,0,ja,1,,,academie
accede,toetreden,accede,0,0,0,0,0,0,0,0,0,0,nee,1,,,toetreden
accelerate,versnellen,accelerate,0,0,0,1,0,0,0,0,0,0,ja,1,,,versnellen
acceleration,versnelling,acceleration,0,0,0,0,0,0,0,0,0,0,nee,1,,,versnelling
